common_name,usgs_2.5CI,usgs_trend_estimate,usgs_97.5CI,usgs_startyear,usgs_endyear,usgs_note
Acadian Flycatcher,1.49,2.22,3,2000,2024,
American Crow,-1.67,-1.3,-0.93,2000,2024,
American Goldfinch,0.1,0.83,1.59,2000,2024,
American Robin,-1.23,-0.9,-0.56,2000,2024,
Barn Swallow,-2.32,-1.69,-1.07,2000,2024,
Blue Grosbeak,-0.05,0.53,1.15,2000,2024,
Blue Jay,-1.59,-1.15,-0.72,2000,2024,
Blue-gray Gnatcatcher,-2.16,-1.44,-0.7,2000,2024,
Brown Thrasher,-0.75,-0.22,0.31,2000,2024,
Brown-headed Cowbird,-0.33,0.25,0.83,2000,2024,
Brown-headed Nuthatch,-1.15,0.25,1.63,2000,2024,
Canada Goose,-5.92,-2.81,0.36,2000,2024,
Carolina Chickadee,-1.72,-1.12,-0.5,2000,2024,
Carolina Wren,1.09,1.56,2.02,2000,2024,
Chimney Swift,-4.49,-3.77,-3.03,2000,2024,
Chipping Sparrow,0.01,0.45,0.9,2000,2024,
Common Grackle,-5.83,-5.17,-4.52,2000,2024,
Common Yellowthroat,-1.92,-1.36,-0.8,2000,2024,
Downy Woodpecker,-0.91,-0.25,0.4,2000,2024,
Eastern Bluebird,-0.42,0.18,0.78,2000,2024,
Eastern Kingbird,-2.42,-1.74,-1.06,2000,2024,
Eastern Meadowlark,-3,-2.35,-1.69,2000,2024,"Gateway errored out for 'Eastern Meadowlark', seems like because of taxon split. Used Meadowlark (all) Sturnella magna/neglecta/lilianae. Eastern Meadowlark is the more abundant of Eastern/Western that would be found in the Piedmont ecoregion, although the Western Meadowlark does also, rarely, occur. "
Eastern Phoebe,0.45,1.13,1.79,2000,2024,
Eastern Towhee,-1.7,-1.22,-0.74,2000,2024,
Eastern Whip-poor-will,-4.57,-2.66,-0.68,2000,2024,
Eastern Wood-Pewee,-0.63,-0.14,0.38,2000,2024,
European Starling,-2.86,-2.14,-1.45,2000,2024,
Field Sparrow,-3.56,-2.89,-2.26,2000,2024,
Fish Crow,2.45,3.88,5.36,2000,2024,
Grasshopper Sparrow,-4.4,-3.13,-1.9,2000,2024,
Gray Catbird,-0.37,0.08,0.54,2000,2024,
Great Blue Heron,,,,,,Gateway erroring out. 
Great Crested Flycatcher,-0.38,0.2,0.81,2000,2024,
Hooded Warbler,-0.2,0.82,1.92,2000,2024,
House Finch,-1.04,-0.09,0.87,2000,2024,
House Sparrow,-2.62,-1.81,-0.95,2000,2024,
Indigo Bunting,-2.14,-1.8,-1.47,2000,2024,
Killdeer,-2.49,-1.5,-0.5,2000,2024,
Mourning Dove,-0.64,-0.28,0.08,2000,2024,
Northern Bobwhite,-7.45,-6.45,-5.47,2000,2024,
Northern Cardinal,0.03,0.3,0.58,2000,2024,
Northern Mockingbird,-0.81,-0.44,-0.07,2000,2024,
Northern Parula,0.61,1.51,2.49,2000,2024,
Orchard Oriole,-0.77,0.05,0.86,2000,2024,
Ovenbird,-1.01,-0.23,0.54,2000,2024,
Pileated Woodpecker,1.23,2.16,3.13,2000,2024,
Pine Warbler,-1.38,-0.66,0.1,2000,2024,
Prairie Warbler,-4.39,-3.52,-2.63,2000,2024,
Purple Martin,-2.47,-1.01,0.65,2000,2024,
Red-bellied Woodpecker,-0.22,0.25,0.72,2000,2024,
Red-eyed Vireo,-1.01,-0.6,-0.19,2000,2024,
Red-shouldered Hawk,3.82,5.03,6.27,2000,2024,
Red-winged Blackbird,-1.7,-1.08,-0.47,2000,2024,
Ruby-throated Hummingbird,-1.62,-0.53,0.49,2000,2024,
Scarlet Tanager,-0.75,0.1,1.06,2000,2024,
Song Sparrow,-0.49,-0.01,0.45,2000,2024,
Summer Tanager,0.13,0.85,1.59,2000,2024,
Tufted Titmouse,-0.34,0.16,0.65,2000,2024,
White-breasted Nuthatch,1.9,2.92,3.97,2000,2024,
White-eyed Vireo,3.02,3.7,4.41,2000,2024,
Wood Thrush,-1.38,-0.84,-0.29,2000,2024,
Yellow-billed Cuckoo,-1.18,-0.16,0.87,2000,2024,
Yellow-breasted Chat,-2.75,-2.15,-1.58,2000,2024,
Yellow-throated Vireo,0.8,1.68,2.61,2000,2024,
Yellow-throated Warbler,1.59,3.28,5.1,2000,2024,
