"spp","ssi"
"abetow",2.76493334457817
"acafly",1.46387953309659
"acowoo",1.26872498188034
"aldfly",0.805314693685403
"allhum",1.75166229904001
"altori",2.09621550118874
"amecro",1.00189505973914
"amegfi",1.32645803724581
"amepip",1.25339973738644
"amered",1.14950617017461
"amerob",0.552087304214273
"amtspa",1.30564473827305
"annhum",1.42227977867948
"arcwar1",1.97890101538888
"ariwoo",1.76459391898205
"astfly",1.88518174915278
"attwoo1",1.14117077241021
"audori",1.82135064891918
"babwar",1.70854394765966
"bacspa",2.53893924897479
"baispa",2.34949806595747
"balori",1.64004784797915
"banswa",0.833295118985668
"barswa",0.79272913891109
"batpig1",0.915616781517438
"bawwar",1.28226335541601
"bcrfin",1.65224603936041
"belspa2",2.19734178490126
"belvir",1.66212472250139
"benthr",3.00541671156561
"bewwre",1.57144748825916
"bicthr",2.2397863161608
"bkbcuc",1.47712682499627
"bkbmag1",1.16497086708751
"bkbwar",1.70320990897416
"bkbwoo",1.25198549502659
"bkcchi",1.11365486994166
"bkchum",1.86871171515903
"bkcspa",1.79111596686821
"bkcvir1",1.82327642219617
"bkhgro",1.00084475370703
"bkhpar",2.49073318147101
"bkpwar",0.928593653458237
"bkrfin",1.85024236005267
"bktgna",2.66040710580348
"bktspa",2.39347318698558
"bkwvir",4.46223830459762
"blctit4",2.0238404428546
"blkpho",1.52347293725507
"blkswi",1.11552846141135
"blueth",2.45539247790432
"blugrb1",1.06589147942598
"blujay",1.17325615545178
"bncfly",1.78128392021093
"bnhcow",0.92346878411181
"bnhnut",1.79303983388761
"boboli",1.65833503109374
"bohwax",0.977733962645381
"borchi2",0.938580699034304
"botgra",1.69956796276169
"botspa",2.70953237152053
"brbhum",2.4194289597863
"brebla",1.54943244176936
"brespa",2.06346256449299
"britit",1.75472495709198
"brncre",1.18596455008294
"brnthr",1.29528511547088
"brocow",1.79543081781772
"brthum",1.45760407878547
"btbwar",1.88816751901207
"btnwar",1.52940577515458
"btywar",1.20578940264642
"bubfly",1.37498831584946
"bubhum",2.34334237977
"buggna",0.966212471124368
"buhvir",1.55275789116274
"bulori",1.46117512747568
"bushti",1.07315550777745
"buwwar",1.87818006566662
"cacwre",2.48752452564256
"calgna",2.54696993911226
"calhum",1.65419835925032
"calqua",1.21745478365826
"calthr",1.54187203366714
"caltow",1.41023311018029
"camwar",1.48295177574931
"cantow",1.74404236231718
"canwar",1.7360774274314
"canwre",1.76455394958559
"carchi",1.29770663839154
"carwre",1.24064962955123
"casfin",1.66488463072064
"caskin",1.6196882241795
"casspa",1.92493939157985
"casvir",1.4313993241692
"cavswa",1.66822906399235
"cedwax",1.02806044782597
"cerwar",2.44256395867294
"chbchi",1.3661333707403
"chclon",2.53725397909234
"chirav",2.28594637880848
"chispa",0.708744397057435
"chiswi",1.36808414926609
"chswar",1.59298248705474
"chukar",1.71264900121185
"clanut",1.38612284623431
"clcspa",1.3104504312795
"cliswa",0.96122437897085
"comgra",1.16537990967858
"commyn",3.74991217287247
"comrav",0.400613801792286
"comred",1.03583987530616
"comyel",0.819382887103034
"conwar",1.47948862040194
"corfly",1.25166369166019
"coshum",2.44468042523853
"coukin",2.10516050184819
"cowscj1",1.31320416090903
"crithr",2.61379914760513
"cubthr",2.03110496859343
"dowwoo",1.12883109924808
"ducfly",2.0143368914486
"dusfly",1.39092206628826
"easblu",1.16900202169828
"easkin",1.24429056721851
"easmea",1.14841751177044
"easpho",1.25497531466335
"eastow",1.35205583336062
"eawpew",1.35620203055036
"eaywag",2.15837217598879
"eletro",2.90255441380956
"eucdov",1.25755556646381
"eursta",1.38582710120139
"eutspa",2.59022927298618
"evegro",1.29740449730011
