"","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"orng-01",1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"orng-02",1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2
"orng-03",1,1,2,1,1,1,1,1,1,1,1,3,1,3,3,1,1,1,2,1,1,2,2,2,2,2,2
"orng-04",1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2
"orng-05",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2
"orng-06",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,2,2
"orng-07",1,1,2,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,2,2,2,2
"orng-08",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2
"orng-09",1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,3,2,2,2,2,2,2,2
"orng-10",1,1,2,1,1,1,1,1,1,1,1,3,3,1,1,3,3,1,2,1,1,2,2,3,2,2,2
"orng-11",1,1,2,1,1,1,1,1,1,1,1,3,3,1,3,3,3,3,2,1,2,2,2,2,2,2,2
"orng-12",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
"cthm-01",3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2
"cthm-02",3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"cthm-03",3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
"cthm-04",3,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"cthm-05",3,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2
"cthm-06",3,2,2,1,1,1,1,1,1,1,2,1,3,3,3,3,3,3,3,1,1,1,2,2,2,2,2
"cthm-07",3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
"cthm-08",3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,2,2,2,2
"cthm-09",3,2,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
"cthm-10",3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,2,2,2
"cthm-11",3,2,2,1,1,3,1,1,1,1,1,1,1,2,2,3,3,2,3,3,3,1,3,2,2,2,2
"cthm-12",3,2,2,2,1,1,1,1,1,1,1,3,3,3,3,3,3,3,1,3,1,1,2,2,2,2,2
"cthm-13",3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
"cthm-14",3,2,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,3,3,3,1,2,2,2,2,2,2
"drhm-01",3,3,3,1,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2
"drhm-02",3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,2,3,2,2,2,2
"drhm-03",3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"drhm-04",3,3,3,1,2,1,2,2,2,2,2,2,2,2,2,2,3,3,3,2,1,1,2,2,2,2,2
"drhm-05",3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
"drhm-06",3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
"drhm-07",3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,2,2,2
"drhm-08",3,3,3,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
