"common_name_standard","habitat_ssi","z_tempwq","avonet_diet","diet_category_standard","Final_Fraction_Diet_Wt","usgs_2.5CI","usgs_trend_estimate","usgs_97.5CI","usgs_startyear","usgs_endyear","usgs_sd","scale_habitat_ssi","scale_ztempwq","scale_obs_quality","scale_insect_perc","scale_usgs_trend","scale_usgs_sd"
1,1.36661352255914,0.189481973198562,"Invertivore",2,0.9604,1.49,0.0222,3,2000,2024,0.00459007408093386,1.01818500690359,-0.845109163255974,-0.176209046356281,1.06915067470398,1.38762973866622,0.242640887519422
2,0.998312456612513,1.3507091902054,"Omnivore",4,0.2459,-1.67,-0.013,-0.93,2000,2024,0.00224944027807355,-0.625015132958435,1.15398317579351,-0.176209046356281,-1.29125419654147,-0.473115663278577,0.118910103817465
3,1.32415130324379,1.43137919220521,"Granivore",1,0.458,0.1,0.0083,1.59,2000,2024,0.00452927839774268,0.828736940717577,1.29285934113572,-0.176209046356281,-0.590565780598629,0.652846753239153,0.239427100929761
4,0.540233180905199,1.3992512796771,"Invertivore",2,0.2631,-1.23,-0.009,-0.56,2000,2024,0.00203665538690443,-2.66876683369132,1.23755004174629,-0.176209046356281,-1.23443269369273,-0.261667322148487,0.107661850753651
5,0.778612952147626,1.14406166473812,"Invertivore",2,0.9994,-2.32,-0.0169,-1.07,2000,2024,0.00379973019944856,-1.60521934587982,0.798232398516694,-0.176209046356281,1.19799012883774,-0.679277795880415,0.200861661853826
6,0.795386213998051,0.0954310494415625,"Invertivore",2,0.6,-0.05,0.0053,1.15,2000,2024,0.00364774099147062,-1.53038430257708,-1.00702104269657,-0.176209046356281,-0.121458024521858,0.494260497391586,0.192827195379673
7,1.15537858865382,0.982548449165791,"Omnivore",4,0.388,-1.59,-0.0115,-0.72,2000,2024,0.0026446122188162,0.0757460485887951,0.520181878190327,-0.176209046356281,-0.821816082889995,-0.393822535354793,0.139799716650263
8,0.941794148801137,0.29941813682233,"Invertivore",2,1,-2.16,-0.0144,-0.7,2000,2024,0.00443808487295592,-0.877175389572724,-0.65585030050623,-0.176209046356281,1.19997227428595,-0.547122582674108,0.234606421045269
9,1.26698295380999,0.892220479872607,"Omnivore",4,0.4821,-0.75,-0.0022,0.31,2000,2024,0.00322217120913238,0.573676479396744,0.364679192091266,-0.176209046356281,-0.510949605095459,0.0977948577726667,0.170330689252045
10,0.896131475688404,0.921093216221044,"Invertivore",2,0.2135,-0.33,0.0025,0.83,2000,2024,0.00352614962508826,-1.08090249704786,0.414384594441662,-0.176209046356281,-1.3982900507449,0.346246658600523,0.186399622200351
11,1.44519402253209,-1.38987840826752,"Invertivore",2,0.819,-1.15,0.0025,1.63,2000,2024,0.00845059996357359,1.36877722746667,-3.56403203463448,-0.176209046356281,0.602025064075416,0.346246658600523,0.446716335962909
12,0.964100911797542,-0.271110297403151,"Invertivore",2,0.8233,-1.72,-0.0112,-0.5,2000,2024,0.00370853667466179,-0.77765225628678,-1.63803449785039,-0.176209046356281,0.6162304397876,-0.377963909770036,0.196040981969334
13,1.16986561665302,-0.0859537715480192,"Invertivore",2,0.985,1.09,0.0156,2.02,2000,2024,0.00282699926838973,0.140380904785275,-1.3192812108614,-0.176209046356281,1.15041863808066,1.03873997580157,0.149441076419247
14,1.35053239546782,0.767616761022025,"Invertivore",2,0.68,-4.49,-0.0377,-3.03,2000,2024,0.00443808487295592,0.946437969686418,0.150169631754457,-0.176209046356281,0.142828035239704,-1.77880916975688,0.234606421045269
15,0.667548846482336,1.32381162341689,"Omnivore",4,0.605,0.01,0.0045,0.9,2000,2024,0.00270540790200737,-2.1007393723934,1.107678095342,-0.176209046356281,-0.10494014578676,0.451970829165568,0.143013503239924
16,1.15852266202054,1.18948476424114,"Omnivore",4,0.3988,-5.83,-0.0517,-4.52,2000,2024,0.00398211724902209,0.0897735447695408,0.876429816646823,-0.176209046356281,-0.786137464822184,-2.5188783637122,0.21050302162281
17,0.806612505226977,1.1548737604161,"Invertivore",2,0.687,-1.92,-0.0136,-0.8,2000,2024,0.00340455825870591,-1.48029744423446,0.816845790730005,-0.176209046356281,0.16595306546884,-0.50483291444809,0.179972049021028
18,1.11499433914881,1.36025195758062,"Invertivore",2,0.7933,-0.91,-0.0025,0.4,2000,2024,0.00398211724902209,-0.104431014608931,1.17041137595429,-0.176209046356281,0.517123167377014,0.0819362321879099,0.21050302162281
19,1.08397664809478,0.704564440981363,"Invertivore",2,0.25,-0.42,0.0018,0.78,2000,2024,0.00364774099147062,-0.242818543157559,0.0416229079896782,-0.176209046356281,-1.27770953597869,0.309243198902757,0.192827195379673
20,1.21533942660008,1.18818155464645,"Invertivore",2,0.8133,-2.42,-0.0174,-1.06,2000,2024,0.00413410645700003,0.343265386460647,0.87418629679234,-0.176209046356281,0.583194682317405,-0.705708838521676,0.218537488096963
