"common_name","sp_id","sample_size","pch_scale"
"Acadian Flycatcher",1,136,5.41265488573605
"American Crow",2,136,5.41265488573605
"American Goldfinch",3,136,5.41265488573605
"American Robin",4,136,5.41265488573605
"Barn Swallow",5,136,5.41265488573605
"Black-and-white Warbler",6,136,5.41265488573605
"Blue Grosbeak",7,136,5.41265488573605
"Blue Jay",8,136,5.41265488573605
"Blue-gray Gnatcatcher",9,136,5.41265488573605
"Brown Thrasher",10,136,5.41265488573605
"Brown-headed Cowbird",11,136,5.41265488573605
"Brown-headed Nuthatch",12,136,5.41265488573605
"Carolina Chickadee",13,136,5.41265488573605
"Carolina Wren",14,136,5.41265488573605
"Chimney Swift",15,136,5.41265488573605
"Chipping Sparrow",16,136,5.41265488573605
"Common Grackle",17,136,5.41265488573605
"Common Yellowthroat",18,136,5.41265488573605
"Downy Woodpecker",19,136,5.41265488573605
"Eastern Bluebird",20,136,5.41265488573605
"Eastern Kingbird",21,136,5.41265488573605
"Eastern Meadowlark",22,136,5.41265488573605
"Eastern Phoebe",23,136,5.41265488573605
"Eastern Towhee",24,136,5.41265488573605
"Eastern Wood-Pewee",25,136,5.41265488573605
"European Starling",26,136,5.41265488573605
"Field Sparrow",27,136,5.41265488573605
"Fish Crow",28,136,5.41265488573605
"Grasshopper Sparrow",29,136,5.41265488573605
"Gray Catbird",30,136,5.41265488573605
"Great Crested Flycatcher",31,136,5.41265488573605
"Hairy Woodpecker",32,136,5.41265488573605
"Hooded Warbler",33,136,5.41265488573605
"House Finch",34,136,5.41265488573605
"House Sparrow",35,136,5.41265488573605
"Indigo Bunting",36,136,5.41265488573605
"Mourning Dove",37,136,5.41265488573605
"Northern Bobwhite",38,136,5.41265488573605
"Northern Cardinal",39,136,5.41265488573605
"Northern Flicker",40,136,5.41265488573605
"Northern House Wren",41,136,5.41265488573605
"Northern Mockingbird",42,136,5.41265488573605
"Northern Parula",43,136,5.41265488573605
"Northern Rough-winged Swallow",44,136,5.41265488573605
"Orchard Oriole",45,136,5.41265488573605
"Ovenbird",46,136,5.41265488573605
"Pileated Woodpecker",47,136,5.41265488573605
"Pine Warbler",48,136,5.41265488573605
"Prairie Warbler",49,136,5.41265488573605
"Purple Martin",50,136,5.41265488573605
"Red-bellied Woodpecker",51,136,5.41265488573605
"Red-eyed Vireo",52,136,5.41265488573605
"Red-headed Woodpecker",53,136,5.41265488573605
"Red-winged Blackbird",54,136,5.41265488573605
"Ruby-throated Hummingbird",55,136,5.41265488573605
"Scarlet Tanager",56,136,5.41265488573605
"Song Sparrow",57,136,5.41265488573605
"Summer Tanager",58,136,5.41265488573605
"Tufted Titmouse",59,136,5.41265488573605
"White-breasted Nuthatch",60,136,5.41265488573605
"White-eyed Vireo",61,136,5.41265488573605
"Wild Turkey",62,136,5.41265488573605
"Wood Thrush",63,136,5.41265488573605
"Yellow-billed Cuckoo",64,136,5.41265488573605
"Yellow-breasted Chat",65,136,5.41265488573605
"Yellow-throated Vireo",66,136,5.41265488573605
"Yellow-throated Warbler",67,136,5.41265488573605
