"prop_posterior_gt_0","common_name_standard","kappa"
0.7053125,1,"_landcover"
0.060625,2,"_landcover"
0.0553125,3,"_landcover"
0.079375,4,"_landcover"
0.0571875,5,"_landcover"
0.3059375,6,"_landcover"
0.3296875,7,"_landcover"
0.0740625,8,"_landcover"
0.06375,9,"_landcover"
0.070625,10,"_landcover"
0.05,11,"_landcover"
0.07375,12,"_landcover"
0.0475,13,"_landcover"
0.0453125,14,"_landcover"
0.073125,15,"_landcover"
0.0740625,16,"_landcover"
0.08625,17,"_landcover"
0.07,18,"_landcover"
0.06625,19,"_landcover"
0.048125,20,"_landcover"
0.105,21,"_landcover"
0.3565625,22,"_landcover"
0.0759375,23,"_landcover"
0.12875,24,"_landcover"
0.3659375,25,"_landcover"
0.0853125,26,"_landcover"
0.0921875,27,"_landcover"
0.0753125,28,"_landcover"
0.37875,29,"_landcover"
0.0925,30,"_landcover"
0.06,31,"_landcover"
0.7215625,32,"_landcover"
0.0703125,33,"_landcover"
0.098125,34,"_landcover"
0.1271875,35,"_landcover"
0.0409375,36,"_landcover"
0.4875,37,"_landcover"
0.04,38,"_landcover"
0.063125,39,"_landcover"
0.0646875,40,"_landcover"
0.4134375,41,"_landcover"
0.0459375,42,"_landcover"
0.235625,43,"_landcover"
0.4875,44,"_landcover"
0.5775,45,"_landcover"
0.339375,46,"_landcover"
0.6396875,47,"_landcover"
0.2621875,48,"_landcover"
0.053125,49,"_landcover"
0.213125,50,"_landcover"
0.0521875,51,"_landcover"
0.075625,52,"_landcover"
0.5425,53,"_landcover"
0.080625,54,"_landcover"
0.4771875,55,"_landcover"
0.0825,56,"_landcover"
0.063125,57,"_landcover"
0.365625,58,"_landcover"
0.56,59,"_landcover"
0.401875,60,"_landcover"
0.3284375,61,"_landcover"
0.6478125,62,"_landcover"
0.62625,63,"_landcover"
0.856875,NA,"_forest"
0.2615625,NA,"_uai"
