"prop_posterior_gt_0","common_name_standard","kappa"
0.6190625,1,"_landcover"
0.6321875,2,"_landcover"
0.6465625,3,"_landcover"
0.5159375,4,"_landcover"
0.606875,5,"_landcover"
0.639375,6,"_landcover"
0.6078125,7,"_landcover"
0.635625,8,"_landcover"
0.62875,9,"_landcover"
0.54375,10,"_landcover"
0.616875,11,"_landcover"
0.6465625,12,"_landcover"
0.6353125,13,"_landcover"
0.6134375,14,"_landcover"
0.58125,15,"_landcover"
0.64125,16,"_landcover"
0.4778125,17,"_landcover"
0.6228125,18,"_landcover"
0.6278125,19,"_landcover"
0.635625,20,"_landcover"
0.6275,21,"_landcover"
0.61875,22,"_landcover"
0.6390625,23,"_landcover"
0.63875,24,"_landcover"
0.64625,25,"_landcover"
0.4321875,26,"_landcover"
0.625,27,"_landcover"
0.6259375,28,"_landcover"
0.6046875,29,"_landcover"
0.46625,30,"_landcover"
0.6375,31,"_landcover"
0.6303125,32,"_landcover"
0.439375,33,"_landcover"
0.43125,34,"_landcover"
0.6375,35,"_landcover"
0.5825,36,"_landcover"
0.611875,37,"_landcover"
0.465625,38,"_landcover"
0.636875,39,"_landcover"
0.485,40,"_landcover"
0.6278125,41,"_landcover"
0.4440625,42,"_landcover"
0.604375,43,"_landcover"
0.6309375,44,"_landcover"
0.6303125,45,"_landcover"
0.6490625,46,"_landcover"
0.623125,47,"_landcover"
0.6171875,48,"_landcover"
0.635625,49,"_landcover"
0.6525,50,"_landcover"
0.5128125,51,"_landcover"
0.645625,52,"_landcover"
0.6215625,53,"_landcover"
0.6396875,54,"_landcover"
0.6253125,55,"_landcover"
0.6525,56,"_landcover"
0.633125,57,"_landcover"
0.653125,58,"_landcover"
0.6290625,59,"_landcover"
0.6175,60,"_landcover"
0.609375,61,"_landcover"
0.625,62,"_landcover"
0.6228125,63,"_landcover"
0.6159375,NA,"_forest"
0.4025,NA,"_uai"
