# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=2118644611
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model/simple_bayes_observer_only/_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,a.1.1,a.2.1,a.3.1,a.4.1,a.5.1,a.6.1,a.7.1,a.8.1,a.9.1,a.10.1,a.11.1,a.12.1,a.13.1,a.14.1,a.15.1,a.16.1,a.17.1,a.18.1,a.19.1,a.20.1,a.21.1,a.22.1,a.23.1,a.24.1,a.25.1,a.26.1,a.27.1,a.28.1,a.29.1,a.30.1,a.31.1,a.32.1,a.33.1,a.34.1,a.1.2,a.2.2,a.3.2,a.4.2,a.5.2,a.6.2,a.7.2,a.8.2,a.9.2,a.10.2,a.11.2,a.12.2,a.13.2,a.14.2,a.15.2,a.16.2,a.17.2,a.18.2,a.19.2,a.20.2,a.21.2,a.22.2,a.23.2,a.24.2,a.25.2,a.26.2,a.27.2,a.28.2,a.29.2,a.30.2,a.31.2,a.32.2,a.33.2,a.34.2,a_bar.1,a_bar.2,sigma_a,gamma_b,sig_b
-16954.3,1,0.000976562,3,7,0,31242.4,-0.011089,-0.556191,1.43898,-1.71032,1.47616,-1.1728,-1.46658,-1.08203,0.183849,-0.0883457,-1.58072,-0.415099,-0.133205,1.46212,0.870834,1.72404,-1.28229,-1.03395,0.830076,1.28825,-0.147513,0.389024,-0.670352,1.82821,-1.17058,-0.656045,-1.93455,1.25687,-0.411503,-0.807878,-0.599589,1.34442,0.37652,1.80769,0.60506,-1.70944,0.289022,-0.921824,-1.20156,0.434596,1.59988,0.644139,1.72137,0.338078,1.13848,0.697971,-1.34488,-1.35879,0.121713,1.09659,1.02649,-1.15744,0.987265,1.53098,-0.427588,1.20906,-0.354255,0.277172,-0.208535,-0.10106,0.998538,1.10664,1.74813,1.81402,0.10338,-1.83465,-1.56622,0.944563,1.11981,-0.469339,1.77141,0.291042,0.248225,1.40895,5.73524
-16954.3,0,14.3855,0,1,1,16986.7,-0.011089,-0.556191,1.43898,-1.71032,1.47616,-1.1728,-1.46658,-1.08203,0.183849,-0.0883457,-1.58072,-0.415099,-0.133205,1.46212,0.870834,1.72404,-1.28229,-1.03395,0.830076,1.28825,-0.147513,0.389024,-0.670352,1.82821,-1.17058,-0.656045,-1.93455,1.25687,-0.411503,-0.807878,-0.599589,1.34442,0.37652,1.80769,0.60506,-1.70944,0.289022,-0.921824,-1.20156,0.434596,1.59988,0.644139,1.72137,0.338078,1.13848,0.697971,-1.34488,-1.35879,0.121713,1.09659,1.02649,-1.15744,0.987265,1.53098,-0.427588,1.20906,-0.354255,0.277172,-0.208535,-0.10106,0.998538,1.10664,1.74813,1.81402,0.10338,-1.83465,-1.56622,0.944563,1.11981,-0.469339,1.77141,0.291042,0.248225,1.40895,5.73524
-16954.3,0,2.43117,0,1,1,16989,-0.011089,-0.556191,1.43898,-1.71032,1.47616,-1.1728,-1.46658,-1.08203,0.183849,-0.0883457,-1.58072,-0.415099,-0.133205,1.46212,0.870834,1.72404,-1.28229,-1.03395,0.830076,1.28825,-0.147513,0.389024,-0.670352,1.82821,-1.17058,-0.656045,-1.93455,1.25687,-0.411503,-0.807878,-0.599589,1.34442,0.37652,1.80769,0.60506,-1.70944,0.289022,-0.921824,-1.20156,0.434596,1.59988,0.644139,1.72137,0.338078,1.13848,0.697971,-1.34488,-1.35879,0.121713,1.09659,1.02649,-1.15744,0.987265,1.53098,-0.427588,1.20906,-0.354255,0.277172,-0.208535,-0.10106,0.998538,1.10664,1.74813,1.81402,0.10338,-1.83465,-1.56622,0.944563,1.11981,-0.469339,1.77141,0.291042,0.248225,1.40895,5.73524
-16954.3,0,0.239791,0,1,1,16993.2,-0.011089,-0.556191,1.43898,-1.71032,1.47616,-1.1728,-1.46658,-1.08203,0.183849,-0.0883457,-1.58072,-0.415099,-0.133205,1.46212,0.870834,1.72404,-1.28229,-1.03395,0.830076,1.28825,-0.147513,0.389024,-0.670352,1.82821,-1.17058,-0.656045,-1.93455,1.25687,-0.411503,-0.807878,-0.599589,1.34442,0.37652,1.80769,0.60506,-1.70944,0.289022,-0.921824,-1.20156,0.434596,1.59988,0.644139,1.72137,0.338078,1.13848,0.697971,-1.34488,-1.35879,0.121713,1.09659,1.02649,-1.15744,0.987265,1.53098,-0.427588,1.20906,-0.354255,0.277172,-0.208535,-0.10106,0.998538,1.10664,1.74813,1.81402,0.10338,-1.83465,-1.56622,0.944563,1.11981,-0.469339,1.77141,0.291042,0.248225,1.40895,5.73524
-16954.3,0,0.0186273,0,1,1,17003.3,-0.011089,-0.556191,1.43898,-1.71032,1.47616,-1.1728,-1.46658,-1.08203,0.183849,-0.0883457,-1.58072,-0.415099,-0.133205,1.46212,0.870834,1.72404,-1.28229,-1.03395,0.830076,1.28825,-0.147513,0.389024,-0.670352,1.82821,-1.17058,-0.656045,-1.93455,1.25687,-0.411503,-0.807878,-0.599589,1.34442,0.37652,1.80769,0.60506,-1.70944,0.289022,-0.921824,-1.20156,0.434596,1.59988,0.644139,1.72137,0.338078,1.13848,0.697971,-1.34488,-1.35879,0.121713,1.09659,1.02649,-1.15744,0.987265,1.53098,-0.427588,1.20906,-0.354255,0.277172,-0.208535,-0.10106,0.998538,1.10664,1.74813,1.81402,0.10338,-1.83465,-1.56622,0.944563,1.11981,-0.469339,1.77141,0.291042,0.248225,1.40895,5.73524
-14276,1,0.00130482,2,3,0,16992.2,-0.0196288,-0.461333,1.4379,-1.70717,1.4785,-1.17083,-1.4633,-1.08592,0.182715,-0.0903804,-1.57963,-0.413086,-0.137469,1.46368,0.86912,1.7243,-1.28981,-1.02957,0.831079,1.28817,-0.145479,0.388789,-0.663681,1.83066,-1.17066,-0.654653,-1.93292,1.25816,-0.412597,-0.813844,-0.604315,1.34719,0.377711,1.80816,0.608768,-1.70915,0.292909,-0.924323,-1.19824,0.43465,1.60159,0.646859,1.72192,0.335345,1.13866,0.699281,-1.34598,-1.35865,0.125349,1.09346,1.02542,-1.15167,0.986001,1.53221,-0.432015,1.20662,-0.352342,0.281051,-0.209751,-0.104433,0.997103,1.10232,1.74687,1.81226,0.100979,-1.83451,-1.56694,0.944709,1.12303,-0.470715,1.77312,0.28772,0.248771,1.41151,5.7272
-3003.42,1,0.00189104,2,3,0,13131.1,-0.0300107,-0.0234921,1.43175,-1.70875,1.47646,-1.18252,-1.46791,-1.07657,0.1912,-0.096012,-1.57774,-0.404837,-0.141699,1.45801,0.881193,1.72873,-1.2879,-1.02083,0.8364,1.28862,-0.155249,0.391957,-0.666494,1.82643,-1.1687,-0.653531,-1.93369,1.26603,-0.415922,-0.80808,-0.598202,1.34784,0.374877,1.8042,0.607031,-1.70414,0.294307,-0.922143,-1.20333,0.438113,1.5883,0.647004,1.72642,0.339177,1.13936,0.697142,-1.3512,-1.3477,0.129897,1.08904,1.02833,-1.15108,0.98039,1.52687,-0.436338,1.19765,-0.348886,0.287472,-0.210523,-0.0971089,0.990082,1.09434,1.75657,1.81756,0.10899,-1.83999,-1.56367,0.939427,1.11667,-0.473366,1.77837,0.291342,0.253881,1.4092,5.7192
-2855.61,0.333333,0.00305706,2,6,1,2904.88,-0.0218794,0.0355431,1.43303,-1.70987,1.48006,-1.18423,-1.46459,-1.07471,0.194386,-0.0953038,-1.57825,-0.406073,-0.147209,1.45876,0.882559,1.72363,-1.29153,-1.02034,0.831717,1.29218,-0.154942,0.393767,-0.667507,1.82683,-1.1658,-0.6548,-1.93733,1.26302,-0.415791,-0.806751,-0.599899,1.35017,0.374161,1.80636,0.60083,-1.70107,0.289657,-0.917193,-1.20073,0.443617,1.5931,0.648317,1.73147,0.340467,1.14096,0.700097,-1.35236,-1.34386,0.123606,1.09499,1.02961,-1.1478,0.978818,1.52626,-0.438229,1.19726,-0.342673,0.286648,-0.206724,-0.0938671,0.983868,1.09422,1.75014,1.82272,0.11177,-1.83775,-1.56786,0.939446,1.11798,-0.473046,1.77813,0.291144,0.255131,1.40864,5.69601
-2750.37,1,0.000652292,4,15,0,2884.91,-0.0270361,-0.00264752,1.43083,-1.7079,1.47303,-1.18592,-1.46853,-1.0693,0.190412,-0.0837357,-1.56954,-0.404313,-0.137177,1.45839,0.887851,1.7243,-1.29564,-1.01128,0.835942,1.29165,-0.159612,0.404997,-0.660214,1.82173,-1.16668,-0.662035,-1.93203,1.26294,-0.421473,-0.802854,-0.596178,1.34561,0.384459,1.80524,0.599224,-1.69579,0.286729,-0.915429,-1.19378,0.436221,1.5914,0.641061,1.7336,0.342729,1.13874,0.694805,-1.34854,-1.34272,0.125429,1.09595,1.02618,-1.13764,0.982342,1.53116,-0.439964,1.19452,-0.340409,0.279312,-0.208601,-0.084979,0.984818,1.07927,1.74384,1.81977,0.120208,-1.83999,-1.56835,0.937222,1.12971,-0.472293,1.77817,0.291964,0.259411,1.41764,5.62514
-1927.68,0.928807,0.00117083,6,63,0,2772.5,-0.0182746,0.0157566,1.29074,-1.59185,1.36142,-1.14529,-1.4465,-1.05597,0.142369,-0.0483142,-1.55693,-0.315192,-0.14123,1.37994,0.881793,1.65552,-1.24171,-0.981196,0.834795,1.24395,-0.101478,0.504604,-0.604823,1.77014,-1.11037,-0.610737,-1.94044,1.19114,-0.429493,-0.71847,-0.516693,1.27915,0.413701,1.74282,0.589997,-1.68695,0.279352,-0.767811,-1.10375,0.367064,1.45647,0.781586,1.6593,0.381895,1.07619,0.582581,-1.18617,-1.18828,0.196349,1.18856,0.860597,-1.01104,0.979885,1.34929,-0.409357,1.06345,-0.217835,0.325114,-0.171749,0.0103166,1.04368,1.01004,1.71531,1.75105,0.355006,-1.6946,-1.56839,0.955012,1.05371,-0.479506,1.75791,0.201768,0.7106,1.43933,5.10608
