"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-5104.39969525,-5103.565,26.9419831323903,26.6645610000009,-5149.9805,-5061.3995,1.0005298590777,5573.07914277252,10741.8837110306
"2","strata_raw[1]",0.381516446744559,0.3066655,0.368161389795644,0.2812173441,-0.01946771,1.072542,1.00014953158329,14971.5477177916,13454.1494918765
"3","strata_raw[2]",-0.38150470987026,-0.3066285,0.368166927847313,0.2812766481,-1.0717275,0.019708635,1.00013975599386,14972.9729935499,13458.7989163678
"4","STRATA",3.04298506125,3.04294,0.0611438799564,0.061201728,2.9418395,3.142601,1.00018916855763,15760.0271874293,23108.9891429787
"5","eta",0.0731693039554422,0.0726401,0.0734749480346946,0.07299966576,-0.045883455,0.194722,1.00008249737453,32349.6754172533,31487.5700318335
"6","yeareffect_raw[1,1]",-0.0631268513758525,-0.0654259,0.893070256144277,0.89137188546,-1.5156045,1.4115935,0.999996007443831,55280.2215604241,31275.3461868624
"7","yeareffect_raw[2,1]",0.831902423479545,0.8518735,0.909089025312748,0.8939655459,-0.6911919,2.288596,1.00012039240822,41310.6296314745,29458.0038725885
"8","yeareffect_raw[1,2]",0.284640483968625,0.2907315,0.890543832307142,0.8783270811,-1.2006675,1.7420275,1.00040058493613,47720.6096609192,30204.9541441656
"9","yeareffect_raw[2,2]",0.0195675563946925,0.0248623,0.876527362970054,0.8713507068,-1.433067,1.455353,1.00018150055528,51739.7343754064,31570.2423460923
"10","yeareffect_raw[1,3]",0.177004088979481,0.1822375,0.890219087460142,0.8744708385,-1.2880255,1.6398905,0.999997596156041,55285.8404357524,29673.7405879999
"11","yeareffect_raw[2,3]",0.373990985042725,0.3866115,0.879748260246188,0.8683484418,-1.0885095,1.814152,1.00005354553501,50119.0580722843,29969.0498135473
"12","yeareffect_raw[1,4]",0.75883609133513,0.7808945,0.928420429646742,0.9190170381,-0.79894265,2.2502995,1.00003303973672,40640.7094501719,29277.9768988496
"13","yeareffect_raw[2,4]",0.426052940751242,0.436913,0.868906525885831,0.8562860082,-1.0188085,1.8460335,0.999981415145955,50993.8717197309,30217.5318838481
"14","yeareffect_raw[1,5]",-0.452002431291563,-0.4668445,0.920652628145829,0.9084090351,-1.9427965,1.0818085,1.0001464729218,51380.506694928,30153.5727405647
"15","yeareffect_raw[2,5]",-0.720559917387945,-0.741809,0.911615526290827,0.9055513236,-2.18461,0.80990585,1.00003527807109,44201.4693020346,29748.5867256483
"16","yeareffect_raw[1,6]",-0.555515509139197,-0.5631135,0.916954063249432,0.91012121571,-2.037461,0.971301849999999,1.00015019791598,50408.257274418,28403.5690706213
"17","yeareffect_raw[2,6]",-0.65714657070238,-0.677957,0.880459267760736,0.86948804229,-2.0575935,0.825906849999999,1.00003137962862,44372.0978359561,30320.8731668896
"18","yeareffect_raw[1,7]",-0.130738161600342,-0.1318365,0.867289666394439,0.8588190303,-1.548535,1.3022905,0.99999903451175,57166.9258891852,30614.2478457892
"19","yeareffect_raw[2,7]",-0.794524426936398,-0.8228495,0.886464260536739,0.8743366632,-2.194712,0.7009772,1.00001011024897,41494.6994286413,29359.3271762487
"20","yeareffect_raw[1,8]",-0.433825972819848,-0.4444415,0.888272595736181,0.878551695,-1.8686875,1.0391655,1.00007673672227,47954.4952634593,29206.1479218884
"21","yeareffect_raw[2,8]",-0.355908574943305,-0.371492,0.868940174697491,0.8604031884,-1.7529095,1.1022565,1.00000891949381,49686.7161965851,31134.1038159337
"22","yeareffect_raw[1,9]",0.0365609529683675,0.0342378,0.87370612255105,0.8594380158,-1.408191,1.4719915,1.00017182082131,56225.2815541907,29264.8365222573
"23","yeareffect_raw[2,9]",0.00993106467037,0.008609355,0.849422939250823,0.845551027923,-1.3891785,1.400657,1.00011046620243,55338.2287570549,31517.7519436012
"24","yeareffect_raw[1,10]",0.228827704345093,0.2323065,0.875178613827745,0.8672342679,-1.221256,1.6594545,1.00013415217234,55849.6811549907,31627.27010424
"25","yeareffect_raw[2,10]",0.0153885286503975,0.00790117,0.841524160868889,0.831690667542,-1.358117,1.4011115,1.00008514186268,55210.4483131356,30440.0903007829
"26","yeareffect_raw[1,11]",0.149513451474565,0.156942,0.889084932526804,0.882347151,-1.32365,1.608038,1.00011550463197,51482.6484115498,30298.7368349307
"27","yeareffect_raw[2,11]",0.174640158061017,0.1848755,0.847094520314991,0.8343168414,-1.2250425,1.5511985,0.999996949540932,53666.7389598864,30221.2718689995
"28","yeareffect_raw[1,12]",0.183066968166368,0.1868215,0.872930290887403,0.8568820134,-1.251686,1.604611,1.00005064615494,55048.7354879339,30611.4255565845
"29","yeareffect_raw[2,12]",0.000686626345120751,-0.002942565,0.844832655905488,0.8276503305,-1.378091,1.389116,1.00005183904843,53146.4339787803,29530.7451099741
"30","yeareffect_raw[1,13]",0.131879452243403,0.129731,0.879518187423704,0.8664840723,-1.3270165,1.574125,1.00006615327581,54158.636450154,29895.1010818899
"31","yeareffect_raw[2,13]",0.39462115901947,0.4109215,0.829537913436369,0.8028849801,-0.98472055,1.7410645,1.00019387861164,51021.3957196251,29696.5953899293
"32","yeareffect_raw[1,14]",0.26190702614852,0.269171,0.867253131936657,0.8569754172,-1.1728045,1.669484,1.00004394078665,55980.1957475673,30313.4829218808
"33","yeareffect_raw[2,14]",-0.177905871425928,-0.1886045,0.85381149184146,0.8440567821,-1.574311,1.2567495,1.00007702899854,53329.0890364878,31709.0429914481
"34","yeareffect_raw[1,15]",-0.0495429710318425,-0.05146545,0.902182780608023,0.8992732539,-1.5249695,1.4476405,1.00051632894689,57520.2438685651,29073.6399222392
"35","yeareffect_raw[2,15]",-0.0343247751965952,-0.03148805,0.835558307511191,0.8164478049,-1.420245,1.338043,1.0000378710194,53238.1066800425,29178.006885779
"36","yeareffect_raw[1,16]",0.076903938417525,0.0763477,0.861531838313878,0.845578671,-1.3286725,1.49397,1.00016423497652,55401.3908809183,30110.5257246284
"37","yeareffect_raw[2,16]",0.065866068807455,0.06027365,0.862336206646861,0.85121010471,-1.339294,1.4875195,0.999996397825877,54686.0946313548,30106.9720843634
"38","yeareffect_raw[1,17]",-0.287575551866239,-0.297065,0.914342295140551,0.9095743587,-1.773291,1.225417,1.00011633351452,53331.8793231281,30727.9191767524
"39","yeareffect_raw[2,17]",0.217175949177472,0.2244585,0.824982251017009,0.8082771963,-1.159986,1.556166,1.00034673194742,51527.0567179574,29425.0229500507
"40","yeareffect_raw[1,18]",-0.0753845616595975,-0.0769848,0.866667766249664,0.85478146572,-1.4973745,1.3551045,0.999976967341959,53454.988254884,28760.4641016722
"41","yeareffect_raw[2,18]",0.209231638867147,0.2131715,0.841846454989551,0.8189897226,-1.186157,1.58128,1.00010907666479,50630.0668043182,30025.4800985708
"42","yeareffect_raw[1,19]",-0.218772878058337,-0.226971,0.894064472135742,0.8840951364,-1.6783625,1.272055,1.00005263835362,52982.6178537207,30794.0650008104
"43","yeareffect_raw[2,19]",0.208141527002974,0.2149655,0.838206445515013,0.8238748896,-1.1746505,1.5757685,1.00007158001865,51167.8491408981,29902.1825998807
"44","yeareffect_raw[1,20]",-0.60491545415827,-0.6168235,0.915371221518004,0.911495074413,-2.081381,0.932239899999999,1.00003844262986,45318.3534168827,27974.7550620837
"45","yeareffect_raw[2,20]",-0.68011331180907,-0.703653,0.916142376851663,0.90550380627,-2.1521395,0.8610841,1.00002971454855,46801.5797382882,28594.4326132435
"46","yeareffect_raw[1,21]",-0.0117390143267475,-0.0144881,0.984512266968352,0.9809296728,-1.6322125,1.61728,1.00011525527242,61393.7084873101,29936.8998484841
"47","yeareffect_raw[2,21]",0.0019087926867225,0.00859999,0.981099389925936,0.980281761774,-1.6212935,1.61089849999999,1.00003764627646,56167.118019218,29524.3507905836
"48","yeareffect_raw[1,22]",-0.248522235331523,-0.2510265,0.921014934558948,0.9152082387,-1.763611,1.2639775,0.999980540309539,55520.105155105,29615.3627077027
"49","yeareffect_raw[2,22]",-0.192410051616623,-0.1914545,0.8589412955887,0.8517003264,-1.5935245,1.2212205,1.00006714354904,52722.5808353992,30895.8986691006
