"","variable_type","variable","rhat","ess_bulk","ess_tail"
"1","lp__","lp__",1.00015987128124,8924.67912267901,17083.3032283784
"2","strata_raw","strata_raw[1]",1.00025288504191,17166.3041571998,17132.759770845
"3","strata_raw","strata_raw[2]",1.00025285084773,17163.2949376464,17187.1758628356
"4","STRATA","STRATA",1.00006436388991,22266.229288758,29288.2899006506
"5","eta","eta",1.00005474560285,33543.6843739128,32743.3835837273
"6","yeareffect_raw","yeareffect_raw[1,1]",0.999984561110468,56097.6913791034,29834.9195275311
"7","yeareffect_raw","yeareffect_raw[2,1]",1.00015501388818,50606.1223919779,29675.0221668773
"8","yeareffect_raw","yeareffect_raw[1,2]",1.00028527185167,56275.5278980014,31390.4657663141
"9","yeareffect_raw","yeareffect_raw[2,2]",1.00005840022596,37841.2551814843,29040.951747317
"10","yeareffect_raw","yeareffect_raw[1,3]",1.00026227244714,56202.7575405545,29266.640863622
"11","yeareffect_raw","yeareffect_raw[2,3]",1.00003637670207,47832.4313262288,28561.7354271681
"12","yeareffect_raw","yeareffect_raw[1,4]",1.0002564226872,57653.1137799163,31622.7964762996
"13","yeareffect_raw","yeareffect_raw[2,4]",1.00017800635213,45579.9217914835,29883.0799959214
"14","yeareffect_raw","yeareffect_raw[1,5]",1.00002594579246,52990.3502089807,31225.5702715036
"15","yeareffect_raw","yeareffect_raw[2,5]",1.00006562750125,46664.779972592,28566.7750097481
"16","yeareffect_raw","yeareffect_raw[1,6]",1.00001424338798,57022.4136729761,30229.2287949638
"17","yeareffect_raw","yeareffect_raw[2,6]",1.00036388498038,49103.7300402858,28382.7653244313
"18","yeareffect_raw","yeareffect_raw[1,7]",1.00005308970818,56737.9172048926,31546.5872244044
"19","yeareffect_raw","yeareffect_raw[2,7]",1.00000021012112,58192.8091627844,29289.8032172431
"20","yeareffect_raw","yeareffect_raw[1,8]",1.00030529101647,54992.6364006708,28980.4495923698
"21","yeareffect_raw","yeareffect_raw[2,8]",1.00012579653959,59495.2325460978,30149.0808732695
"22","yeareffect_raw","yeareffect_raw[1,9]",1.000004485416,61189.5775547149,29582.4254836281
"23","yeareffect_raw","yeareffect_raw[2,9]",1.00001436135163,58348.2458563678,30095.1553232018
"24","yeareffect_raw","yeareffect_raw[1,10]",1.00002920266862,50980.5062403344,29034.4970091533
"25","yeareffect_raw","yeareffect_raw[2,10]",1.00009704179649,55751.724121085,30128.9908469569
"26","yeareffect_raw","yeareffect_raw[1,11]",1.00014758739171,54301.7587387732,31464.0787331599
"27","yeareffect_raw","yeareffect_raw[2,11]",1.00008655186594,52943.4029899399,30194.4609356117
"28","yeareffect_raw","yeareffect_raw[1,12]",1.00006144243208,56435.2066423834,30340.3943368426
"29","yeareffect_raw","yeareffect_raw[2,12]",1.00035525482121,45904.8786102247,28551.2128766145
"30","yeareffect_raw","yeareffect_raw[1,13]",1.00020212178093,59454.0552352081,31442.5075883544
"31","yeareffect_raw","yeareffect_raw[2,13]",1.00032093074845,60942.6592305056,29976.5077598869
"32","yeareffect_raw","yeareffect_raw[1,14]",1.00019863423294,59725.8968156702,30379.9720346162
"33","yeareffect_raw","yeareffect_raw[2,14]",1.00004115029024,44275.2478978891,27501.6294696405
"34","yeareffect_raw","yeareffect_raw[1,15]",1.00025778461119,57638.6429873301,30301.5166254082
"35","yeareffect_raw","yeareffect_raw[2,15]",1.00008596769143,56402.0848365629,30062.5170051894
"36","yeareffect_raw","yeareffect_raw[1,16]",0.99998102724255,51160.8118848104,29790.6291464375
"37","yeareffect_raw","yeareffect_raw[2,16]",0.999961556768503,59724.1251644845,29794.452212329
"38","yeareffect_raw","yeareffect_raw[1,17]",1.00014001245968,63124.0187223041,30739.9265980188
"39","yeareffect_raw","yeareffect_raw[2,17]",1.00006129957764,53957.6792620913,29805.0055095377
"40","yeareffect_raw","yeareffect_raw[1,18]",1.00011345968466,52765.3371845961,29255.5589747386
"41","yeareffect_raw","yeareffect_raw[2,18]",1.00001008061745,60117.3815390618,29949.619051914
"42","yeareffect_raw","yeareffect_raw[1,19]",1.00003054989852,54749.3718721094,29633.8749511156
"43","yeareffect_raw","yeareffect_raw[2,19]",1.00017401214035,56634.673586226,28155.5857564367
"44","yeareffect_raw","yeareffect_raw[1,20]",0.999966343049351,53985.4534045325,30793.8213124519
"45","yeareffect_raw","yeareffect_raw[2,20]",1.00005750297698,50277.7223903379,28809.2829385999
"46","yeareffect_raw","yeareffect_raw[1,21]",1.00000631846783,61977.5499407676,29406.8192094118
"47","yeareffect_raw","yeareffect_raw[2,21]",1.00002860433952,65729.1622964293,30512.7730030572
"48","yeareffect_raw","yeareffect_raw[1,22]",1.00002469096789,53266.4944643257,30663.1309070524
"49","yeareffect_raw","yeareffect_raw[2,22]",1.0000415624713,61400.8110622613,30911.9466223851
"50","yeareffect_raw","yeareffect_raw[1,23]",1.00017278291348,58269.5498553621,31170.7167918358
"51","yeareffect_raw","yeareffect_raw[2,23]",1.00011941130591,60371.3057405183,30742.5328203547
"52","yeareffect_raw","yeareffect_raw[1,24]",1.00010001404687,54948.6088513562,30905.145422365
"53","yeareffect_raw","yeareffect_raw[2,24]",1.00019728787932,46621.1241373302,31002.4376454701
"54","obs_raw","obs_raw[1]",1.00007878442515,57267.119694947,30066.0121465472
"55","obs_raw","obs_raw[2]",1.0000586664848,51148.1364339091,31916.4608036346
"56","obs_raw","obs_raw[3]",1.00009380391108,35080.4812559626,32098.8925559759
"57","obs_raw","obs_raw[4]",1.00013857647023,61746.9651972452,30107.6772199212
"58","obs_raw","obs_raw[5]",1.00008699321046,60683.0348317325,29713.9661899905
"59","obs_raw","obs_raw[6]",1.00011185146246,37329.4262501555,32493.7826887281
"60","obs_raw","obs_raw[7]",1.00015449091639,43406.7578141367,32383.8015851136
"61","obs_raw","obs_raw[8]",1.00004411514757,39334.5649007845,31240.4817474574
"62","obs_raw","obs_raw[9]",0.99999205467679,54451.9050699189,32465.0247802691
"63","obs_raw","obs_raw[10]",0.999965850176309,28038.0793765367,29439.3432864542
"64","obs_raw","obs_raw[11]",0.999986442002704,49936.1133196725,32224.4235967443
"65","obs_raw","obs_raw[12]",1.00024432944849,23250.935986598,27250.6244019378
"66","obs_raw","obs_raw[13]",1.00009971729578,50059.4998714763,32600.4430277736
"67","obs_raw","obs_raw[14]",0.999980291818032,42591.1491596333,32454.0775965514
"68","obs_raw","obs_raw[15]",1.00001189952468,47434.7586111229,32298.0465565703
"69","obs_raw","obs_raw[16]",0.999991661904871,24268.5323004765,28438.8868304272
"70","obs_raw","obs_raw[17]",1.00018440304878,36524.2525901855,32240.75444636
"71","obs_raw","obs_raw[18]",1.00007371662661,51437.8185629837,31828.4076148184
"72","obs_raw","obs_raw[19]",1.0001114737664,31168.3799166148,30457.2207062433
"73","obs_raw","obs_raw[20]",1.00012919837393,41533.5660752957,31745.6872907784
"74","obs_raw","obs_raw[21]",1.00019998624687,29913.1638225355,29973.5417218056
"75","obs_raw","obs_raw[22]",1.00015565699407,64832.0497865416,30068.1628758583
"76","obs_raw","obs_raw[23]",0.999976606076242,51189.2272708929,32582.5286128588
"77","obs_raw","obs_raw[24]",0.999972777024335,48132.8987399105,30527.6093671015
"78","obs_raw","obs_raw[25]",1.00009341328263,65275.5264735436,30394.7441222171
"79","obs_raw","obs_raw[26]",1.00011925151455,64052.8681662294,30953.3046992718
"80","obs_raw","obs_raw[27]",1.00002948586114,66609.3869287379,29204.693584419
"81","obs_raw","obs_raw[28]",0.999967444023282,64220.0071923002,29930.4755787549
"82","obs_raw","obs_raw[29]",1.00006798424294,67029.5433154216,29667.4368793916
"83","obs_raw","obs_raw[30]",1.00023684991922,65545.9675275578,29585.7671332724
"84","obs_raw","obs_raw[31]",1.0000649584591,43874.6601913978,30660.4628906257
"85","obs_raw","obs_raw[32]",1.00003925808144,41890.8779503307,28997.3559750434
"86","obs_raw","obs_raw[33]",1.00008238975821,65401.6887619655,30564.545265899
"87","obs_raw","obs_raw[34]",1.00015257292235,35942.4976782233,32084.1628877307
"88","obs_raw","obs_raw[35]",1.00013502361341,47457.5651501005,31268.6500555008
"89","obs_raw","obs_raw[36]",1.00035479129597,64022.2693134741,30832.544827829
"90","obs_raw","obs_raw[37]",1.00017225013625,63239.7429623284,30841.5394223181
"91","obs_raw","obs_raw[38]",1.00015075747744,58772.7060794264,29125.5315112734
"92","obs_raw","obs_raw[39]",1.00000836431601,39695.2103182177,31647.2826364578
"93","obs_raw","obs_raw[40]",1.00002136274368,55012.5104342066,31120.2886807017
"94","obs_raw","obs_raw[41]",1.000102713387,52369.3943830117,30030.7907675477
"95","obs_raw","obs_raw[42]",1.00009744166023,68735.5578368,30228.1085663082
"96","obs_raw","obs_raw[43]",1.00005773368867,41158.0087192949,31160.3609015186
