"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-2396.42149725,-2396.03,22.1491086461981,22.3576079999999,-2433.4005,-2360.8395,1.00077126754363,7809.70732395646,15166.5277713125
"2","strata_raw[1]",-0.631064818225,-0.560894,0.356093718242264,0.3288770037,-1.3156,-0.1853833,1.00018125595185,16454.8256088074,17211.3854797991
"3","strata_raw[2]",0.6310386015625,0.5607805,0.356089889208885,0.3288792276,0.1852459,1.315885,1.00018025285982,16451.1024495761,17170.1132935338
"4","STRATA",0.50204503465,0.5030275,0.062303713565786,0.0625901828999999,0.39860965,0.6032051,1.00008964609016,23324.0375829558,29402.8480294611
"5","eta",-0.00823561839353675,-0.008681825,0.0703120564849815,0.06967827111,-0.1229527,0.10815015,1.00016083729505,33992.7371510327,31484.2707979183
"6","yeareffect_raw[1,1]",-0.177482696450325,-0.177165,0.816092711355102,0.8009924412,-1.5232735,1.17307,1.00011004435112,48726.7263978269,30023.1070053734
"7","yeareffect_raw[2,1]",0.171925976464375,0.1800645,0.900661791434283,0.9015282885,-1.3196615,1.6375255,1.00003429968687,56404.8383293452,32071.3498811063
"8","yeareffect_raw[1,2]",-0.28484618158746,-0.2915775,0.82143731416313,0.807401721,-1.62567,1.0710665,1.00020346879083,49240.8135445229,29504.9676254051
"9","yeareffect_raw[2,2]",-0.200747872665522,-0.2076665,0.922498607026669,0.9139821285,-1.7080815,1.3174055,1.00031508661826,57984.3364163056,29332.1212655881
"10","yeareffect_raw[1,3]",0.115357054530532,0.1152835,0.786608306924172,0.7744027515,-1.1778,1.402431,1.00007092452628,53073.1059784648,31383.3031433801
"11","yeareffect_raw[2,3]",0.666314355659553,0.687808,0.931556104319444,0.9244448367,-0.8944354,2.1627515,0.999991266095484,48697.2488159622,29430.7388588476
"12","yeareffect_raw[1,4]",-0.86913871985561,-0.888069,0.877559236666529,0.8633861796,-2.279824,0.60755505,1.00008009466583,44067.3309052449,27571.3382326136
"13","yeareffect_raw[2,4]",-0.183871790336545,-0.190179,0.909085038072986,0.9037418103,-1.6700935,1.316912,1.00010300384094,59028.879850366,30131.9099120442
"14","yeareffect_raw[1,5]",-0.153527154523979,-0.155409,0.783323906495767,0.7640994228,-1.4390355,1.133271,1.00007117268729,50138.7822707212,30318.5227525673
"15","yeareffect_raw[2,5]",0.01925948677733,0.02491195,0.881284834213319,0.8670370821,-1.4350005,1.464609,1.00012393541387,59152.1996124912,30695.3863450035
"16","yeareffect_raw[1,6]",0.26013462625775,0.2636915,0.806069995858293,0.7929426645,-1.0810475,1.5728445,1.00006664649064,55866.2262425103,30123.7357207668
"17","yeareffect_raw[2,6]",-0.0527088837117047,-0.05516185,0.892223933285321,0.8752366014,-1.525064,1.4220905,1.00024650434981,59894.8747898923,28689.9691938342
"18","yeareffect_raw[1,7]",-0.694620309158775,-0.7089175,0.797824351694584,0.7802501259,-1.98161,0.642474449999999,1.00015932418969,46988.7200747015,27107.2061406937
"19","yeareffect_raw[2,7]",-0.199601664113948,-0.2034715,0.873822823219016,0.8642957547,-1.625874,1.236162,1.00002807808797,59232.3087415486,29508.7527078363
"20","yeareffect_raw[1,8]",0.857726642888813,0.871606,0.780021984678191,0.7567323834,-0.4436738,2.112548,1.00007744947161,46025.8074714685,25786.7496411691
"21","yeareffect_raw[2,8]",-0.206526044396995,-0.2119575,0.908365218445177,0.9067537122,-1.6890715,1.295843,1.00001569644654,59133.7545732172,30373.3207655044
"22","yeareffect_raw[1,9]",-0.302777550298315,-0.304101,0.77319050537542,0.7486351635,-1.561254,0.969404449999996,1.00002056593534,52704.4400233211,30211.3354204027
"23","yeareffect_raw[2,9]",0.109113320926317,0.114671,0.884152722749563,0.8803834473,-1.3594205,1.5507545,1.00003585557301,60005.7812366271,30700.7319063238
"24","yeareffect_raw[1,10]",-0.372305622081455,-0.3778285,0.796402466373095,0.7728882756,-1.6750495,0.95078275,1.00038038799723,53497.6768109547,30069.1849595346
"25","yeareffect_raw[2,10]",-0.0997906023746,-0.1073,0.89722390521871,0.8940715518,-1.5627615,1.384487,1.00010700715152,58947.047585122,29271.2156059323
"26","yeareffect_raw[1,11]",0.838168986132215,0.8511925,0.742898099680531,0.7079541021,-0.40770305,2.0270615,1.0000164095177,42479.1750774867,25063.6310110318
"27","yeareffect_raw[2,11]",0.0676184313031575,0.0716404,0.872930620206096,0.86383081134,-1.364572,1.4927535,0.999990021990957,59479.9599285626,29634.6362623529
"28","yeareffect_raw[1,12]",0.122728076331802,0.1244865,0.75654139804338,0.7237549116,-1.1313495,1.355774,1.00005250133308,55252.4994225154,28739.3888233443
"29","yeareffect_raw[2,12]",-0.568550417383472,-0.593793,0.914340742105152,0.90721939686,-2.0242705,0.968637199999999,1.00009803762063,50925.8998989802,30146.5369699731
"30","yeareffect_raw[1,13]",0.50749896368845,0.5238205,0.724876911976039,0.6918412053,-0.7139322,1.6720685,1.00023324665151,49165.7572435113,26330.022270864
"31","yeareffect_raw[2,13]",-0.0456766331000325,-0.04523225,0.882529575655786,0.87228771,-1.4977055,1.404995,1.0002481869424,61258.8072693471,29756.6037011171
"32","yeareffect_raw[1,14]",0.410136293732,0.4196565,0.769908486180769,0.75124172256,-0.86550735,1.667797,0.999971512846844,51561.7600188812,29082.3518041997
"33","yeareffect_raw[2,14]",-0.077209355811625,-0.0850123,0.888116370622262,0.87456616968,-1.528017,1.3889105,1.00027456467807,59938.7615629392,29460.8286060293
"34","yeareffect_raw[1,15]",0.565891226297403,0.5869975,0.735875912833183,0.7097176548,-0.6689298,1.7392535,1.00008711101211,50006.4664544738,26144.7002169907
"35","yeareffect_raw[2,15]",0.40366164291976,0.4175265,0.883457213428055,0.8784975801,-1.0698405,1.8344,1.00013695549772,56737.8774981529,29219.3402225411
"36","yeareffect_raw[1,16]",-0.530147979567703,-0.543363,0.796236774766643,0.77729063391,-1.8178045,0.795275649999999,1.00013210857071,50795.6350536165,29088.3094425804
"37","yeareffect_raw[2,16]",-0.237248884582877,-0.246546,0.897049483522228,0.8870951775,-1.6935625,1.252988,1.00014060821782,60578.5730829589,29609.2081946779
"38","yeareffect_raw[1,17]",0.843368221663775,0.856103,0.75890567601456,0.7303984422,-0.42266575,2.0643795,1.00011830670969,43287.4315703526,26513.7077380399
"39","yeareffect_raw[2,17]",0.214144628644807,0.217228,0.873372531595064,0.8611971207,-1.217151,1.6427695,1.00008764820455,57774.0371927483,29269.2767324092
"40","yeareffect_raw[1,18]",-0.230755047641745,-0.2350005,0.783584684979584,0.7575796893,-1.522771,1.06664699999999,0.999977738847331,50547.5726667167,29602.2103316547
"41","yeareffect_raw[2,18]",0.35818769164485,0.370453,0.897186761452595,0.8906667609,-1.135439,1.8170235,1.00021942244383,57584.5960952524,30556.1381348087
"42","yeareffect_raw[1,19]",0.0431833522334715,0.0449183,0.765937644288057,0.7388529687,-1.218293,1.3033195,1.00006635286844,53024.1991018199,29135.1007329354
"43","yeareffect_raw[2,19]",-0.252411270792372,-0.2607495,0.896450061208897,0.8890344183,-1.707777,1.2356495,1.00000332317602,55705.1698639639,29859.2067145269
"44","yeareffect_raw[1,20]",0.257413782305483,0.2662095,0.815389425758267,0.799514289,-1.099071,1.574102,1.00011571015486,47467.726139714,27996.3956476747
"45","yeareffect_raw[2,20]",0.716676381883235,0.739269,0.929495249215044,0.9203128305,-0.8469557,2.2086475,1.00018705603419,47717.6209373922,29960.7609895746
"46","yeareffect_raw[1,21]",0.0073437644883075,0.005341735,0.984931977741464,0.985127306289,-1.593289,1.6168535,1.00011852317068,63964.2638906482,29870.9541152969
"47","yeareffect_raw[2,21]",-0.0024589944456875,-0.003038445,0.975742468343437,0.96932388,-1.608515,1.590559,0.999944107935448,63646.6521111026,30059.6849477951
"48","yeareffect_raw[1,22]",-0.96197004935278,-0.9789255,0.820452972384173,0.7917773409,-2.277524,0.419913699999999,1.00003083112552,41363.9676616057,26804.1940743297
"49","yeareffect_raw[2,22]",-0.414022114718267,-0.429501,0.906041445877737,0.8983288377,-1.889221,1.094543,1.00002217779762,54811.9716912529,30833.0177270797
"50","yeareffect_raw[1,23]",0.692175044073193,0.7022275,0.832319208078565,0.8206539411,-0.70464075,2.028469,1.00007381161795,41677.1569312177,29829.5201957312
"51","yeareffect_raw[2,23]",0.107284015924225,0.1068255,0.917388031710309,0.902955291,-1.4048545,1.6169825,0.999976695157627,56182.0626032871,30707.7978081221
"52","yeareffect_raw[1,24]",-0.943711315918611,-0.9565405,0.831423367631203,0.8084536257,-2.2856255,0.44360135,0.999980618874884,41711.2857010972,27013.1142679433
"53","yeareffect_raw[2,24]",-0.293548416593081,-0.3036325,0.914518761897185,0.9026676666,-1.774777,1.2351975,1.00000262643387,56035.4081672238,28529.2098892937
"54","obs_raw[1]",-0.913987176486488,-0.902828,0.825439828388052,0.8108220792,-2.294165,0.426530599999998,1.00007882034271,50196.7418578839,31222.235461589
"55","obs_raw[2]",-1.17056597061501,-1.15465,0.773704787590873,0.769002381,-2.47037,0.0708177949999994,1.00009558727205,46012.8581349042,29741.1094381715
"56","obs_raw[3]",-0.473234362215352,-0.453699,0.738849710109612,0.73678785516,-1.7239795,0.705634049999999,1.00013470940113,43437.2563652674,28698.5791128743
