common_name,n
American Crow,814
Carolina Wren,814
Northern Cardinal,814
Mourning Dove,812
Tufted Titmouse,812
Red-bellied Woodpecker,799
Eastern Bluebird,797
Northern Mockingbird,794
Chipping Sparrow,777
Indigo Bunting,770
Red-eyed Vireo,769
Eastern Towhee,758
Carolina Chickadee,743
Blue Jay,728
American Goldfinch,697
Pine Warbler,697
Blue-gray Gnatcatcher,678
Wood Thrush,668
Summer Tanager,661
American Robin,649
Brown-headed Cowbird,617
Eastern Wood-Pewee,612
Common Grackle,604
Chimney Swift,595
Great Crested Flycatcher,587
Blue Grosbeak,577
Brown Thrasher,576
Ovenbird,569
Eastern Phoebe,558
House Finch,514
Downy Woodpecker,512
Yellow-breasted Chat,501
European Starling,499
Common Yellowthroat,479
Yellow-billed Cuckoo,462
Eastern Meadowlark,449
White-breasted Nuthatch,441
Barn Swallow,412
Acadian Flycatcher,404
White-eyed Vireo,386
Red-shouldered Hawk,361
Fish Crow,346
Northern Parula,333
Brown-headed Nuthatch,332
Red-winged Blackbird,326
Field Sparrow,295
Yellow-throated Warbler,281
Gray Catbird,280
Canada Goose,274
Scarlet Tanager,271
Prairie Warbler,266
Yellow-throated Vireo,259
Eastern Kingbird,239
Hooded Warbler,238
Orchard Oriole,235
Great Blue Heron,232
Pileated Woodpecker,231
Killdeer,229
Ruby-throated Hummingbird,193
Northern Flicker,175
House Sparrow,169
Red-tailed Hawk,156
Turkey Vulture,154
Song Sparrow,152
Black Vulture,151
Northern Bobwhite,151
Purple Martin,145
Eastern Whip-poor-will,136
Barred Owl,125
Northern Rough-winged Swallow,125
Grasshopper Sparrow,123
Northern House Wren,118
Hairy Woodpecker,101
Green Heron,99
Rock Pigeon,92
Wild Turkey,80
Black-and-white Warbler,63
Mallard,60
Red-headed Woodpecker,55
Louisiana Waterthrush,51
Chuck-will's-widow,48
Wood Duck,44
Cedar Waxwing,41
Cooper's Hawk,36
Kentucky Warbler,34
Tree Swallow,32
Great Horned Owl,27
American Redstart,26
Double-crested Cormorant,23
Osprey,23
Belted Kingfisher,22
Blue-headed Vireo,22
Prothonotary Warbler,21
Cliff Swallow,16
Yellow Warbler,12
Broad-winged Hawk,11
Loggerhead Shrike,10
Warbling Vireo,9
Eastern Screech-Owl,8
Sharp-shinned Hawk,8
passerine sp.,8
woodpecker sp.,8
Bald Eagle,7
crow sp.,6
hawk sp.,6
American/Fish Crow,5
Great Egret,5
swallow sp.,5
Accipitrine hawk sp.,4
duck sp.,4
Baltimore Oriole,3
Common Nighthawk,3
Dickcissel,3
Horned Lark,3
Blackpoll Warbler,2
Sharp-shinned/Cooper's Hawk,2
Summer/Scarlet Tanager,2
Swainson's Thrush,2
Worm-eating Warbler,2
Yellow-crowned Night Heron,2
Black-throated Blue Warbler,1
Buteo sp.,1
Downy/Hairy Woodpecker,1
Glossy Ibis,1
Mississippi Kite,1
Muscovy Duck,1
Mute Swan,1
Northern Waterthrush,1
Ring-billed Gull,1
Willow Flycatcher,1
waterfowl sp.,1
