"County_Route_Stop","mbbs_county","route_num","stop_num","lat","lon","WKT"
"chatham-1-1","chatham",1,1,35.768194,-79.18409,c(1499063.06111303, 1545756.56990639)
"chatham-1-2","chatham",1,2,35.768061,-79.175666,c(1499808.78553401, 1545874.82551065)
"chatham-1-3","chatham",1,3,35.767089,-79.165578,c(1500717.83646072, 1545926.95599595)
"chatham-1-4","chatham",1,4,35.766264,-79.15756,c(1501441.39477212, 1545962.67960015)
"chatham-1-5","chatham",1,5,35.771066,-79.151922,c(1501843.90694253, 1546580.98948579)
"chatham-1-6","chatham",1,6,35.777919,-79.144074,c(1502400.75047287, 1547460.29180217)
"chatham-1-7","chatham",1,7,35.784027,-79.147646,c(1501965.07778578, 1548076.97989105)
"chatham-1-8","chatham",1,8,35.790649,-79.150232,c(1501606.2501625, 1548765.91924575)
"chatham-1-9","chatham",1,9,35.796262,-79.150871,c(1501439.06051518, 1549374.4321161)
"chatham-1-10","chatham",1,10,35.803606,-79.1532756,c(1501082.02969661, 1550145.83524124)
"chatham-1-11","chatham",1,11,35.808863,-79.157316,c(1500622.02509578, 1550661.4108042)
"chatham-1-12","chatham",1,12,35.815893,-79.153156,c(1500849.96876744, 1551501.89937152)
"chatham-1-13","chatham",1,13,35.821153,-79.147977,c(1501202.61894721, 1552163.4167608)
"chatham-1-14","chatham",1,14,35.8276,-79.143853,c(1501438.76420139, 1552939.10239497)
"chatham-1-15","chatham",1,15,35.833699,-79.139403,c(1501710.45141533, 1553681.59417661)
"chatham-1-16","chatham",1,16,35.840145,-79.134252,c(1502036.98602227, 1554473.41873479)
"chatham-1-17","chatham",1,17,35.843794,-79.125918,c(1502699.21817494, 1555007.32615306)
"chatham-1-18","chatham",1,18,35.846032,-79.116841,c(1503454.75417135, 1555397.53749128)
"chatham-1-19","chatham",1,19,35.84653,-79.108612,c(1504169.96097194, 1555582.63675102)
"chatham-1-20","chatham",1,20,35.846079,-79.098248,c(1505092.05571245, 1555697.02436149)
"chatham-2-1","chatham",2,1,35.8602659,-78.990665,c(1514287.27259624, 1558969.37779816)
"chatham-2-2","chatham",2,2,35.8639551,-78.9978547,c(1513580.53133745, 1559261.33005926)
"chatham-2-4","chatham",2,4,35.8625383,-79.0082845,c(1512690.17233769, 1558939.15444925)
"chatham-2-5","chatham",2,5,35.8573224,-79.0144718,c(1512249.05633564, 1558265.95952631)
"chatham-2-6","chatham",2,6,35.8520403,-79.0189869,c(1511956.477694, 1557612.09745595)
"chatham-2-7","chatham",2,7,35.8455345,-79.0258997,c(1511476.956422, 1556785.27206771)
"chatham-2-8","chatham",2,8,35.8381628,-79.0281508,c(1511425.26633753, 1555937.19320955)
"chatham-2-9","chatham",2,9,35.831003,-79.0234399,c(1511982.7725821, 1555223.20892657)
"chatham-2-10","chatham",2,10,35.8245885,-79.0182671,c(1512566.2230144, 1554598.73637561)
"chatham-2-11","chatham",2,11,35.8190108,-79.0209792,c(1512438.21890163, 1553940.99192035)
"chatham-2-12","chatham",2,12,35.8193091,-79.0293806,c(1511691.88959168, 1553840.18649358)
"chatham-2-13","chatham",2,13,35.8199538,-79.0396638,c(1510772.82722028, 1553747.69977641)
"chatham-2-14","chatham",2,14,35.8139108,-79.0445884,c(1510458.9046305, 1553003.54490168)
"chatham-2-15","chatham",2,15,35.8145049,-79.0539119,c(1509625.35393495, 1552920.86228268)
"chatham-2-16","chatham",2,16,35.8178023,-79.0617823,c(1508866.21252285, 1553159.21994866)
"chatham-2-17","chatham",2,17,35.8154438,-79.0713797,c(1508067.12756347, 1552746.98604371)
"chatham-2-18","chatham",2,18,35.8157816,-79.0799655,c(1507303.6737403, 1552647.99813963)
"chatham-2-19","chatham",2,19,35.810236,-79.0974469,c(1505872.68202444, 1551759.74166057)
"chatham-2-20","chatham",2,20,35.8124578,-79.1076962,c(1504925.21097663, 1551842.23084135)
"chatham-3-1","chatham",3,1,35.6733378,-78.9858872,c(1518435.07716911, 1538451.03303602)
"chatham-3-2","chatham",3,2,35.666351,-78.9801295,c(1519082.76181571, 1537773.35439421)
"chatham-3-3","chatham",3,3,35.6595899,-78.9777834,c(1519424.77160433, 1537066.03999713)
"chatham-3-4","chatham",3,4,35.655182,-78.9831765,c(1519036.42507014, 1536494.23924295)
"chatham-3-5","chatham",3,5,35.6509829,-78.9907833,c(1518448.34969767, 1535910.08649853)
"chatham-3-6","chatham",3,6,35.6473864,-78.99724,c(1517949.76469425, 1535410.73106032)
"chatham-3-7","chatham",3,7,35.6431243,-79.0050542,c(1517344.46890924, 1534816.4039716)
"chatham-3-8","chatham",3,8,35.6381369,-79.0035399,c(1517577.55169447, 1534291.14248461)
"chatham-3-9","chatham",3,9,35.6319633,-79.0030893,c(1517740.30896561, 1533618.22275055)
"chatham-3-10","chatham",3,10,35.6255625,-79.0025528,c(1517915.18615544, 1532921.65060505)
"chatham-3-11","chatham",3,11,35.618867,-79.0027127,c(1518034.40904786, 1532181.49444764)
"chatham-3-12","chatham",3,12,35.6123772,-79.0052136,c(1517942.67240744, 1531426.60774369)
"chatham-3-13","chatham",3,13,35.6049423,-79.0050848,c(1518102.1074681, 1530609.6133221)
"chatham-3-14","chatham",3,14,35.5985573,-79.0075727,c(1518009.37245176, 1529866.48268261)
"chatham-3-15","chatham",3,15,35.592432,-79.0122105,c(1517721.40341814, 1529117.62718194)
"chatham-3-16","chatham",3,16,35.586462,-79.0176232,c(1517361.77582876, 1528373.51883482)
"chatham-3-17","chatham",3,17,35.5832378,-79.0214676,c(1517086.08676228, 1527956.95168771)
"chatham-3-18","chatham",3,18,35.5823524,-79.0269309,c(1516620.73441478, 1527772.21048307)
"chatham-3-19","chatham",3,19,35.5754405,-79.029214,c(1516556.34472433, 1526974.32505507)
"chatham-3-20","chatham",3,20,35.567644,-79.0285998,c(1516765.68367407, 1526125.2286017)
"chatham-4-1","chatham",4,1,35.5801738,-79.2743729,c(1494783.84877692, 1523611.68475715)
"chatham-4-2","chatham",4,2,35.5728397,-79.2824815,c(1494210.35213051, 1522675.82643442)
"chatham-4-3","chatham",4,3,35.5743843,-79.2867818,c(1493799.71031164, 1522778.4645981)
"chatham-4-4","chatham",4,4,35.5789036,-79.2926441,c(1493192.67277519, 1523184.44948728)
"chatham-4-5","chatham",4,5,35.5865283,-79.293837,c(1492937.88261759, 1524006.10665283)
"chatham-4-6","chatham",4,6,35.596687,-79.3009093,c(1492113.58348192, 1525014.74880444)
"chatham-4-7","chatham",4,7,35.5960411,-79.308629,c(1491443.54897653, 1524822.37540411)
"chatham-4-8","chatham",4,8,35.5952532,-79.3185968,c(1490577.45687329, 1524579.13991387)
"chatham-4-9","chatham",4,9,35.5927954,-79.3262783,c(1489946.15778286, 1524187.76509144)
"chatham-4-10","chatham",4,10,35.5966128,-79.3260674,c(1489890.21427836, 1524611.85771017)
